DATA INICIAL,DATA FINAL,ESTADO,MUNICÍPIO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA,periodo_referencia
2023-08-27 00:00:00,2023-09-02 00:00:00,SERGIPE,ARACAJU,ETANOL HIDRATADO,16,R$/l,4.79,0.0957078889120432,4.57,4.89,0.02,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,PARA,BELEM,ETANOL HIDRATADO,7,R$/l,4.66,0.3286552688065197,4.29,5.19,0.071,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,MINAS GERAIS,BELO HORIZONTE,ETANOL HIDRATADO,40,R$/l,3.5,0.10822311947889689,3.34,3.79,0.031,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,RORAIMA,BOA VISTA,ETANOL HIDRATADO,4,R$/l,4.94,0.14,4.87,5.15,0.028,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,DISTRITO FEDERAL,BRASILIA,ETANOL HIDRATADO,49,R$/l,3.77,0.14249865735135464,3.58,3.99,0.038,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,MATO GROSSO DO SUL,CAMPO GRANDE,ETANOL HIDRATADO,4,R$/l,3.55,0.07895146188218008,3.49,3.65,0.022,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,MATO GROSSO,CUIABA,ETANOL HIDRATADO,18,R$/l,3.36,0.05069774588587245,3.22,3.39,0.015,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,PARANA,CURITIBA,ETANOL HIDRATADO,44,R$/l,4.36,0.13840147501933073,4.17,4.99,0.032,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,SANTA CATARINA,FLORIANOPOLIS,ETANOL HIDRATADO,12,R$/l,4.47,0.3547715867820855,3.99,5.09,0.079,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,CEARA,FORTALEZA,ETANOL HIDRATADO,46,R$/l,4.77,0.22472366283433787,4.35,5.19,0.047,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,GOIAS,GOIANIA,ETANOL HIDRATADO,44,R$/l,3.62,0.13158229605174654,3.27,3.79,0.036,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,PARAIBA,JOAO PESSOA,ETANOL HIDRATADO,19,R$/l,4.19,0.06956842733504434,3.99,4.29,0.017,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,AMAPA,MACAPA,ETANOL HIDRATADO,1,R$/l,5.6,0,5.6,5.6,0,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,ALAGOAS,MACEIO,ETANOL HIDRATADO,19,R$/l,4.3,0.15283672440707888,4.15,4.63,0.035,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,AMAZONAS,MANAUS,ETANOL HIDRATADO,33,R$/l,4.75,0.08143597596773912,4.49,4.79,0.017,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,RIO GRANDE DO NORTE,NATAL,ETANOL HIDRATADO,19,R$/l,4.92,0.22040499670628935,4.57,5.59,0.045,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,TOCANTINS,PALMAS,ETANOL HIDRATADO,13,R$/l,4.54,0.13357990022301164,4.39,4.79,0.029,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,RIO GRANDE DO SUL,PORTO ALEGRE,ETANOL HIDRATADO,11,R$/l,4.56,0.3588542373114238,3.98,5.19,0.079,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,RONDONIA,PORTO VELHO,ETANOL HIDRATADO,8,R$/l,4.9,0.175453494041665,4.61,5.25,0.036,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,PERNAMBUCO,RECIFE,ETANOL HIDRATADO,27,R$/l,4.38,0.12612005314884628,4.23,4.59,0.029,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,ACRE,RIO BRANCO,ETANOL HIDRATADO,8,R$/l,4.74,0.13330282389035447,4.59,4.99,0.028,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,RIO DE JANEIRO,RIO DE JANEIRO,ETANOL HIDRATADO,67,R$/l,3.94,0.12947551017106282,3.68,4.39,0.033,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,BAHIA,SALVADOR,ETANOL HIDRATADO,30,R$/l,4.42,0.17870414772408924,4.24,4.99,0.04,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,MARANHAO,SAO LUIS,ETANOL HIDRATADO,12,R$/l,4.29,0.12078969954077838,4.08,4.59,0.028,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,SAO PAULO,SAO PAULO,ETANOL HIDRATADO,180,R$/l,3.48,0.4208627411964313,2.99,4.99,0.121,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,PIAUI,TERESINA,ETANOL HIDRATADO,23,R$/l,4.35,0.14208637355287493,4.07,4.49,0.033,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,ESPIRITO SANTO,VITORIA,ETANOL HIDRATADO,9,R$/l,4.14,0.32848135411313684,3.89,4.99,0.079,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,SERGIPE,ARACAJU,GASOLINA ADITIVADA,14,R$/l,6.46,0.08871797518473425,6.3,6.65,0.014,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,PARA,BELEM,GASOLINA ADITIVADA,7,R$/l,6.26,0.3495098608868466,5.89,6.89,0.056,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,MINAS GERAIS,BELO HORIZONTE,GASOLINA ADITIVADA,30,R$/l,5.79,0.14759216874841996,5.57,6.19,0.025,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,RORAIMA,BOA VISTA,GASOLINA ADITIVADA,17,R$/l,6.06,0.08000459545624643,5.97,6.25,0.013,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,DISTRITO FEDERAL,BRASILIA,GASOLINA ADITIVADA,46,R$/l,5.9,0.1385900359608614,5.57,6.22,0.023,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,MATO GROSSO DO SUL,CAMPO GRANDE,GASOLINA ADITIVADA,2,R$/l,5.73,0.36769552621700474,5.47,5.99,0.064,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,MATO GROSSO,CUIABA,GASOLINA ADITIVADA,6,R$/l,5.91,0.24166091947189144,5.57,6.19,0.041,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,PARANA,CURITIBA,GASOLINA ADITIVADA,35,R$/l,6.44,0.15650865146436244,6.19,6.69,0.024,2023-08-27 a 2023-09-02
2023-08-27 00:00:00,2023-09-02 00:00:00,SANTA CATARINA,FLORIANOPOLIS,GASOLINA ADITIVADA,17,R$/l,6.05,0.2720807622314937,5.49,6.68,0.045,2023-08-27 a 2023-09-02
